0	-165	-146.66667	-128.33334	-110.00001	-91.66668	-73.33335	-55.00002	-36.66669	-18.33336	-3E-05	18.3333	36.66663	54.99996	73.33329	91.66662	109.99995	128.33328	146.66661	164.99994
40	-513.7383635	-434.6724504	-354.5376865	-283.2432255	-219.1871475	-161.6721574	-111.6375537	-66.2196877	-22.58809143	19.97723799	62.19636014	104.9083377	149.1035531	198.1917772	254.9282225	318.6933855	389.1864329	459.8422042	514.8065854
60	-778.812095	-669.0830873	-549.6492546	-438.5688286	-337.3905486	-246.4579415	-167.7514382	-96.8687671	-29.31648449	36.01049507	100.1609316	164.4922122	230.7103514	304.1096439	388.8600748	483.7460031	587.9035666	689.9148361	766.3235551
80	-1049.610111	-914.8863998	-757.0611268	-603.4757086	-461.2609703	-333.1040119	-222.6116067	-123.8444183	-30.3998447	59.2330785	146.4881263	233.3921747	322.5468068	421.3476284	535.6234096	663.5454656	801.4698876	929.2262495	1017.057501
100	-1333.123045	-1176.252439	-973.7735443	-768.3546673	-576.7540083	-404.4777354	-257.1196989	-126.9240617	-5.004114669	110.6909328	222.1054027	332.3224819	445.2919697	570.9887551	717.6712259	882.258248	1055.2555	1193.855359	1252.914776
0	175	126.42	67.47	8.98	-63.9	-122.49	-175												
40	422.254075	271.3594556	203.0010049	-21.7561956	-180.1797278	-414.6280424	-422.254075												
60	645.171994	439.396538	320.55559	-21.014034	-273.653828	-642.148604	-645.171994												
80	686.428701	508.698859	392.492481	26.682914	-276.745787	-726.873347	-686.428701												
100	877.382528	628.787648	495.192768	34.096384	-363.286144	-907.478912	-877.382528												
