0	-165	-154	-143	-132	-121	-110	-99	-88	-77	-66	-55	-44	-33	-22	-11	0	11	22	33	44	55	66	77	88	99	110	121	132	143	154	165
40	-550.2720851	-506.7916683	-459.6305712	-414.6678984	-373.1452898	-334.3923017	-297.521454	-261.9469601	-227.3256783	-193.3754771	-159.8528127	-126.5833921	-93.47052732	-60.40829487	-27.33286263	5.844037815	39.18005649	72.75652275	106.6567452	140.9583706	175.797216	211.3069361	247.801552	285.56455	324.3939295	363.8876861	404.307027	445.3248602	484.8412701	520.040857	549.8314661
60	-828.260087	-774.0506546	-711.4521487	-648.5617708	-587.8823323	-529.4074749	-472.5492554	-416.9294947	-362.3716233	-308.6826431	-255.6352196	-203.0211946	-150.7324588	-98.63304173	-46.64014399	5.37539031	57.49048066	109.8250447	162.5035723	215.6320079	269.4094288	324.0188247	379.9022175	437.4156919	496.146446	555.4515793	615.5769011	675.8192459	732.8075274	782.089434	822.3697247
80	-1107.080677	-1044.290459	-967.5219327	-887.478474	-808.0353058	-729.8953766	-652.8105566	-576.651944	-501.468639	-427.211075	-353.7154411	-280.7694983	-208.2851655	-136.1126984	-64.1654803	7.715875306	79.61932874	151.7000575	224.1170568	296.999476	370.6004854	445.1378927	521.1531013	599.0145335	677.9906521	757.1372133	836.4905868	914.7048378	986.8006087	1046.389023	1092.483534
100	-1391.598345	-1327.905765	-1241.137164	-1144.115566	-1044.218623	-944.2924863	-844.8416275	-745.9716266	-647.9466744	-550.7414144	-454.2087256	-358.054677	-262.1829755	-166.4004694	-70.62159144	25.34847135	121.5939226	218.3044288	315.6646826	413.8210993	513.093587	613.7264016	716.4003414	821.3138465	926.9924753	1031.609288	1133.929564	1229.434845	1306.394865	1350.900478	1366.847821
0	175	137.5	82.5	27.5	-27.5	-82.5	-137.5	-175																							
40	646.667334	466.704125	242.185502	63.407522	-108.740825	-278.889172	-466.704125	-646.667334																							
60	910.5706381	660.2932533	384.8038627	119.7084693	-139.7738484	-400.8109357	-660.2932533	-910.5706381																							
80	1151.85961	933.7927929	660.391892	303.2605106	-80.26951948	-495.3318319	-933.7927929	-1151.85961																							
100	1578.790062	1262.651597	963.5049879	452.1791893	-86.11810202	-674.3991034	-1262.651597	-1578.790062																							
