0	0	0
63	-46	0
206	-133	15.67265694
388	-226	30.61166661
513	-310	45.52246479
632	-385	57.37261515
734	-442	66.84459957
843	-488	74.42145845
889	-486	76.9880913
937	-496	80.21565556
978	-512	83.52567697
1045	-541	86.89602238
1141	-598	92.87515094
1262	-674	99.97034337
1422	-772	107.2525407
1596	-874	114.8544717
1746	-965	119.678642
1742	-987	115.8679925
1884	-1066	121.8558455
1977	-1127	124.3643294
2155	-1225	129.6747894
2359	-1483	133.6599053
2623	-2111	139.9171767
2822	-2626	136.6969559
3143	-3782	148.0923456
3430	-5177	150.6564894
3892	-8990	153.4642344
4519	-14736	154.6741607
5218	99999	157.5915547
5800	99999	157.8
