50.852,120.578
52.0628,121.446
53.8789,122.313
55.6951,123.181
57.5112,124.048
59.0247,125.349
60.2354,125.783
62.0516,126.217
63.8677,126.217
63.8677,126.651
65.0785,127.084
65.9865,127.084
67.5,127.084
69.0135,127.084
69.6188,127.518
70.8296,127.952
72.0404,127.952
73.5538,127.952
74.7646,127.952
75.6726,128.386
76.8834,128.386
77.1861,128.819
78.3969,128.819
79.9103,128.819
80.213,128.386
81.4238,128.386
82.0291,127.952
83.5426,127.952
84.4507,127.518
85.3587,127.084
86.8722,126.217
87.7803,124.916
88.6883,124.048
90.2018,122.747
91.4126,121.88
92.3206,121.012
93.2287,120.145
93.8341,119.711
95.0448,119.277
96.5583,118.843
97.7691,118.41
99.2825,117.542
100.796,117.108
101.704,116.675
102.915,116.241
103.52,116.241
103.52,115.807
104.731,115.807
104.731,115.373
105.942,115.373
106.547,114.94
107.152,114.94
108.061,114.94
108.969,114.94
108.969,114.506
110.179,114.506
110.785,114.072
111.693,114.072
111.996,113.639
112.904,113.205
114.417,112.771
115.325,112.337
115.93,112.337
