1.07E-14	0	0	0	0	0	
1.4433	5.71429	0	0	0	0	3.959183815
4.04124	14.2857	0	0	0	0	3.534979363
5.48454	20	0	0	0	0	3.646613937
7.21649	26.4286	0	0	0	0	3.662251316
9.23711	33.5714	0	0	0	0	3.634405133
10.9691	40	0	0	0	0	3.646607288
13.2784	47.8571	0	0	0	0	3.604131522
15.8763	57.8571	0	0	0	0	3.644243306
18.4742	65.7143	0	0	0	0	3.557085016
21.9381	77.1429	0	0	0	0	3.516389295
24.8247	86.4286	0	0	0	0	3.481556675
27.7113	95	0	0	0	0	3.428204379
29.732	100	0	0	0	0	3.363379524
32.9072	107.857	0	0	0	0	3.277610979
35.2165	112.143	0	0	0	0	3.184388
37.5258	116.429	0	0	0	0	3.102638718
39.8351	120	0	0	0	0	3.012418696
43.5876	124.286	0	0	0	0	2.851407281
48.4948	128.571	0	0	0	0	2.651232709
53.6907	131.429	0	0	0	0	2.447891348
57.732	133.571	0	0	0	0	2.313638883
62.3505	135	0	0	0	0	2.165179108
67.8351	135	0	0	0	0	
73.3196	135	0	0	0	0	
77.9381	132.143	0	0	0	0	
82.8454	128.571	0	0	0	0	
87.7526	125.714	0	0	0	0	
92.3711	124.286	0	0	0	0	
98.1443	122.857	0	0	0	0	
105.072	121.429	0	0	0	0	
111.711	120.714	0	0	0	0	
116.619	120	0	0	0	0	
