0	165	154	143	132	121	110	99	88	77	66	55	44	33	22	11	0	-11	-22	-33	-44	-55	-66	-77	-88	-99	-110	-121	-132	-143	-154	-165
40	-5.43E+02	-4.91E+02	-4.38E+02	-3.90E+02	-3.47E+02	-3.09E+02	-2.72E+02	-2.37E+02	-2.04E+02	-1.72E+02	-1.41E+02	-1.11E+02	-8.11E+01	-5.20E+01	-2.32E+01	5.67E+00	3.46E+01	6.40E+01	9.40E+01	1.25E+02	1.57E+02	1.90E+02	2.24E+02	2.60E+02	2.99E+02	3.39E+02	3.81E+02	4.25E+02	4.70E+02	5.11E+02	5.42E+02
60	-818.8721579	-753.7828256	-682.8317315	-614.1070012	-549.2142346	-489.0618934	-431.5822226	-375.3175754	-321.7291773	-270.7134731	-221.3760047	-173.5763987	-126.9373111	-81.1720333	-35.9474743	9.033017132	54.06158874	99.5607116	145.838581	193.2373451	242.0754155	292.7095419	345.3191969	400.4052574	458.4752859	519.3342216	582.6200409	647.5405195	712.1339762	769.8247344	811.3504944
80	-1099.230915	-1022.945437	-934.3599606	-844.7792228	-757.6674121	-675.4714911	-596.0423772	-517.633936	-442.6590183	-371.2759096	-302.3175832	-235.6262736	-170.6973602	-107.1455887	-44.49348696	17.67838284	79.78224054	142.4061165	205.9913928	271.0259044	337.9552691	407.2705664	479.202835	554.428158	633.587936	716.2593431	801.7458241	888.4582735	972.9359364	1045.398583	1093.33443
100	-1397.56707	-1317.979279	-1212.937678	-1098.891453	-985.3051116	-877.3228812	-772.6202711	-668.8678143	-569.4052069	-474.6080489	-382.9247609	-294.1431012	-207.5791305	-122.7116353	-38.87657082	44.51453849	128.0398436	212.5269599	298.6057188	387.0069564	478.3714338	573.4450981	672.5225721	776.5500923	886.1973675	1000.146569	1116.197587	1229.383312	1328.995109	1391.098094	1403.362089
0	126.42	67.47	8.98	-63.9	-122.49	-175																									
40	-301.180577	-123.43832	6.303937	64.487139	302.716535	537.27																									
60	-482.056848	-223.312192	-2.64576	104.463472	485.692272	772.062																									
80	-706.041062	-252.14965	137.111832	251.445706	709.967048	983.819																									
100	-999.912481	-430.647548	109.088113	299.647152	1003.206587	1299.648																									
