0, 0
0.000100, 3.996169
0.000200, 7.787479
0.000300, 11.373928
0.000400, 14.755517
0.000500, 17.932247
0.000600, 20.904116
0.000700, 23.671126
0.000800, 26.233276
0.000900, 28.590565
0.001000, 30.742995
0.001100, 32.690565
0.001200, 34.433275
0.001300, 35.971125
0.001400, 37.304114
0.001500, 38.432244
0.001600, 39.355515
0.001700, 40.073925
0.001800, 40.587475
0.001900, 40.896165
0.002000, 40.999995
0.002100, 40.995298
0.002200, 40.957038
0.002300, 40.846905
0.002400, 40.631976
0.002500, 40.289956
0.002600, 39.810827
0.002700, 39.196173
0.002800, 38.457046
0.002900, 37.611146
0.003000, 36.679925
0.003100, 35.686045
0.003200, 34.651413
0.003300, 33.595872
0.003400, 32.536470
0.003500, 31.487190
0.003600, 30.459007
0.003700, 29.460150
0.003800, 28.496463
0.003900, 27.571799
0.004000, 26.688407
0.004100, 25.847276
0.004200, 25.048440
0.004300, 24.291223
0.004400, 23.574448
0.004500, 22.896588
0.004600, 22.255901
0.004700, 21.650518
0.004800, 21.078515
0.004900, 20.537965
0.005000, 20.026977
0.005100, 19.543718
0.005200, 19.086432
0.005300, 18.653451
0.005400, 18.243197
0.005500, 17.854188
0.005600, 17.485037
0.005700, 17.134445
0.005800, 16.801205
0.005900, 16.484192
0.006000, 16.182359
0.006100, 15.894738
0.006200, 15.620426
0.006300, 15.358588
0.006400, 15.108449
0.006500, 14.869289
0.006600, 14.640440
0.006700, 14.421283
0.006800, 14.211243
0.006900, 14.009785
0.007000, 13.816413
0.007100, 13.630663
0.007200, 13.452107
0.007300, 13.280343
0.007400, 13.114999
0.007500, 12.955727
0.007600, 12.802201
0.007700, 12.654120
0.007800, 12.511199
0.007900, 12.373173
0.008000, 12.239795
0.008100, 12.110833
0.008200, 11.986067
0.008300, 11.865295
0.008400, 11.748325
0.008500, 11.634976
0.008600, 11.525079
0.008700, 11.418475
0.008800, 11.315014
0.008900, 11.214555
0.009000, 11.116965
0.009100, 11.022118
0.009200, 10.929896
0.009300, 10.840186
0.009400, 10.752883
0.009500, 10.667887
0.009600, 10.585102
0.009700, 10.504440
0.009800, 10.425815
0.009900, 10.349147
0.010000, 10.274359
0.010100, 10.201378
0.010200, 10.130135
0.010300, 10.060566
0.010400, 9.992607
0.010500, 9.926200
0.010600, 9.861288
0.010700, 9.797817
0.010800, 9.735735
0.010900, 9.674995
0.011000, 9.615550
0.011100, 9.557354
0.011200, 9.500367
0.011300, 9.444546
0.011400, 9.389854
0.011500, 9.336252
0.011600, 9.283707
0.011700, 9.232184
0.011800, 9.181650
0.011900, 9.132074
0.012000, 9.083427
0.012100, 9.035680
0.012200, 8.988805
0.012300, 8.942777
0.012400, 8.897569
0.012500, 8.853158
0.012600, 8.809521
0.012700, 8.766634
0.012800, 8.724478
0.012900, 8.683030
0.013000, 8.642271
0.013100, 8.602182
0.013200, 8.562744
0.013300, 8.523940
0.013400, 8.485752
0.013500, 8.448165
0.013600, 8.411162
0.013700, 8.374727
0.013800, 8.338847
0.013900, 8.303507
0.014000, 8.268692
0.014100, 8.234391
0.014200, 8.200589
0.014300, 8.167275
0.014400, 8.134437
0.014500, 8.102063
0.014600, 8.070141
0.014700, 8.038662
0.014800, 8.007614
0.014900, 7.976987
0.015000, 7.946772
0.015100, 7.916959
0.015200, 7.887539
0.015300, 7.858503
0.015400, 7.829842
0.015500, 7.801549
0.015600, 7.773614
0.015700, 7.746030
0.015800, 7.718789
0.015900, 7.691885
0.016000, 7.665309
0.016100, 7.639055
0.016200, 7.613116
0.016300, 7.587486
0.016400, 7.562158
0.016500, 7.537125
0.016600, 7.512383
0.016700, 7.487924
0.016800, 7.463744
0.016900, 7.439836
0.017000, 7.416196
0.017100, 7.392818
0.017200, 7.369698
0.017300, 7.346829
0.017400, 7.324207
0.017500, 7.301829
0.017600, 7.279688
0.017700, 7.257781
0.017800, 7.236103
0.017900, 7.214650
0.018000, 7.193418
0.018100, 7.172403
0.018200, 7.151601
0.018300, 7.131008
0.018400, 7.110621
0.018500, 7.090435
0.018600, 7.070448
0.018700, 7.050656
0.018800, 7.031055
0.018900, 7.011642
0.019000, 6.992415
0.019100, 6.973369
0.019200, 6.954502
0.019300, 6.935811
0.019400, 6.917293
0.019500, 6.898945
0.019600, 6.880765
0.019700, 6.862749
0.019800, 6.844895
0.019900, 6.827201
0.020000, 6.809663
0.020100, 6.792280
0.020200, 6.775049
0.020300, 6.757967
0.020400, 6.741032
0.020500, 6.724243
0.020600, 6.707596
0.020700, 6.691091
0.020800, 6.674723
0.020900, 6.658492
0.021000, 6.642396
0.021100, 6.626431
0.021200, 6.610598
0.021300, 6.594893
0.021400, 6.579314
0.021500, 6.563861
0.021600, 6.548530
0.021700, 6.533321
0.021800, 6.518231
0.021900, 6.503260
0.022000, 6.488405
0.022100, 6.473664
0.022200, 6.459036
0.022300, 6.444520
0.022400, 6.430114
0.022500, 6.415817
0.022600, 6.401626
0.022700, 6.387541
0.022800, 6.373560
0.022900, 6.359682
0.023000, 6.345906
0.023100, 6.332230
0.023200, 6.318652
0.023300, 6.305172
0.023400, 6.291788
0.023500, 6.278500
0.023600, 6.265305
0.023700, 6.252203
0.023800, 6.239192
0.023900, 6.226271
0.024000, 6.213440
0.024100, 6.200697
0.024200, 6.188041
0.024300, 6.175471
0.024400, 6.162985
0.024500, 6.150584
0.024600, 6.138265
0.024700, 6.126028
0.024800, 6.113873
0.024900, 6.101797
0.025000, 6.089800
0.025100, 6.077881
0.025200, 6.066039
0.025300, 6.054273
0.025400, 6.042583
