MTS793|BTW|CHS|1|0|.|-|:|86|2|1|A

Data Header:                                                Time:     5.0585938 Sec       2017-12-18 14:46:31
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
2.2829006 0.34200066 1.0151367
4.7379012 0.74400067 2.0151367
7.0342026 1.1500007 3.0151367
9.2184143 1.5540007 4.0151367
11.139976 1.9620007 5.0151367


Data Header:                                                Time:     5.0410156 Sec       2017-12-18 14:46:44
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
12.821216 2.3560007 1.0112305
14.472017 2.7580009 2.0112305
15.995641 3.1580007 3.0112305
17.408243 3.5640008 4.0112305
18.808105 3.9660008 5.0112305


Data Header:                                                Time:     5.0400391 Sec       2017-12-18 14:46:54
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
20.058619 4.3600011 1.0107422
21.470661 4.762001  2.0107422
22.792078 5.1620011 3.0107422
24.091972 5.5660009 4.0107422
25.399137 5.9700007 5.0107422


Data Header:                                                Time:     5.0405273 Sec       2017-12-18 14:47:04
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
26.572735 6.3620009 1.0107422
27.846359 6.7640009 2.0107422
29.096439 7.170001  3.0107422
30.387598 7.5740008 4.0107422
31.346682 7.9760013 5.0107422


Data Header:                                                Time:     5.0410156 Sec       2017-12-18 14:47:16
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
32.147247 8.3640013 1.0112305
33.156921 8.7640009 2.0112305
34.143822 9.1660013 3.0112305
34.548607 9.5700006 4.0112305
35.530811 9.9740009 5.0112305


Data Header:                                                Time:     5.0410156 Sec       2017-12-18 14:47:26
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
33.718391 9.6580009 1.0112305
32.016678 9.2540007 2.0112305
30.546219 8.8520012 3.0112305
28.900335 8.4500008 4.0112305
27.375053 8.0460014 5.0112305


Data Header:                                                Time:     5.0410156 Sec       2017-12-18 14:47:35
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
25.832415 7.638001  1.0107422
24.330616 7.236001  2.0107422
22.872215 6.8360009 3.0107422
21.418068 6.4320011 4.0107422
19.908983 6.0300012 5.0107422


Data Header:                                                Time:     5.0405273 Sec       2017-12-18 14:48:00
Data Acquisition: Timed
Station Name: A tempo 20140725.cfg
Test File Name: Untitled test.tst
1000kN-A Force 1000kN-A Displacement Time
kN        mm        Sec
18.539295 5.6400008 1.0112305
17.085533 5.2460008 2.0112305
